path,tracked_status,size_group,category,reason,retention_period,cleanup_action,recovery_location,requires_human_review
README.md,TRACKED,small,KEEP_CURRENT_DOCUMENTATION,Project README,PERMANENT,NONE,git history,false
harness.toml,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,Test harness config,PERMANENT,NONE,git history,false
requirements.txt,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,Python dependencies,PERMANENT,NONE,git history,false
ruff.toml,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,Linter config,PERMANENT,NONE,git history,false
library.json,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,Evidence library index,PERMANENT,NONE,git history,false
config/,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,App configuration,PERMANENT,NONE,git history,false
docs/,TRACKED,medium,KEEP_CURRENT_DOCUMENTATION,System documentation,PERMANENT,NONE,git history,false
data/,TRACKED,medium,KEEP_ACTIVE_SOURCE,Reference data and processed outputs,PERMANENT,NONE,git history,false
evidence/,TRACKED,medium,KEEP_ACTIVE_SOURCE,EBM evidence files and guidelines,PERMANENT,NONE,git history,false
exports/,TRACKED,medium,KEEP_ACTIVE_SOURCE,Export outputs,PERMANENT,NONE,git history,false
knowledge-packs/,TRACKED,small,KEEP_ACTIVE_SOURCE,Clinical knowledge packs,PERMANENT,NONE,git history,false
chronic-care-clinic-os/,TRACKED,large,KEEP_ACTIVE_SOURCE,Chronic care subproject (separate git repo),PERMANENT,NONE,git history,false
.env.example,TRACKED,small,KEEP_MANIFEST_OR_CONFIG,Secret template — no real secrets,PERMANENT,NONE,git history,false
MRAQ100_AUDIT/,UNTRACKED,small,QUARANTINE_REVIEW_REQUIRED,Untracked audit directory — contains MRAQ_V4_X_SELF_REASSESSMENT.md; scope not verified,REVIEW_REQUIRED,NONE_until_reviewed,local only,true
.mypy_cache/,UNTRACKED,128MB,DELETE_SAFE_CACHE,mypy type-check cache — fully regenerable; 128MB largest cache,TRANSIENT,DELETE_OR_GITIGNORE,regenerate with mypy,false
.ruff_cache/,UNTRACKED,small,DELETE_SAFE_CACHE,ruff lint cache — fully regenerable,TRANSIENT,DELETE_OR_GITIGNORE,regenerate with ruff check,false
.pytest_cache/,UNTRACKED,small,DELETE_SAFE_CACHE,pytest cache — fully regenerable,TRANSIENT,DELETE_OR_GITIGNORE,regenerate with pytest,false
.DS_Store (root),UNTRACKED,tiny,DELETE_SAFE_CACHE,macOS Finder metadata — no data content,TRANSIENT,DELETE_OR_GITIGNORE,auto-regenerated by macOS,false
.DS_Store (docs/ tests/evals/),UNTRACKED,tiny,DELETE_SAFE_CACHE,macOS Finder metadata in subdirs,TRANSIENT,DELETE_OR_GITIGNORE,auto-regenerated by macOS,false
templates/,UNTRACKED,unknown,QUARANTINE_REVIEW_REQUIRED,Untracked templates dir — content not verified,REVIEW_REQUIRED,NONE_until_reviewed,local only,true
out/,UNTRACKED,unknown,QUARANTINE_REVIEW_REQUIRED,Untracked out/ dir — likely build output but not confirmed,REVIEW_REQUIRED,NONE_until_reviewed,local only,true
