trace_id,governance_requirement,requirement_source,ethics_pack_document,ethics_pack_status,hospital_pack_document,hospital_pack_status,iq_pack_document,iq_pack_status,consistency_status,notes
TM2-20,Independence of assessor from PI/developer/AI,Research governance,NOT APPLICABLE,N/A,NOT APPLICABLE,N/A,R_GOV_1_INDEPENDENCE_AND_CONFLICT_OF_INTEREST_TEMPLATE.md Section 1; R_GOV_2_INDEPENDENT_QUALIFICATION_INDEX.md Section 4,NOT STARTED,CONSISTENT — independence rule uniformly stated,Assessor must not be PI; developer; co-investigator; AI agent
TM2-21,Validated test evidence for system,Software validation principles,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 9,COMPLETE — 1049/0/5 referenced,NOT APPLICABLE to hospital pack as primary requirement,N/A,R_GOV_1_VALIDATION_EVIDENCE_CATALOG.csv; Technical Baseline §3,COMPLETE — 1049/0/5 confirmed,CONSISTENT — test results consistently referenced,MRAQ_OFFLINE_CI=1; no real data in any test
TM2-22,Manifest registry integrity,Agent governance,NOT APPLICABLE,N/A,NOT APPLICABLE,N/A,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §4,COMPLETE — 48 agents PASS,CONSISTENT,all_hash_verified=True; required_4_enforced_and_present=True
TM2-23,External evidence boundary (no AI approval),R-GOV.1 state model,R_GOV_1_EXTERNAL_DECISION_STATE_MODEL.md,COMPLETE — referenced in external decision register,R_GOV_1_EXTERNAL_DECISION_STATE_MODEL.md,COMPLETE — referenced,R_GOV_1_EXTERNAL_DECISION_STATE_MODEL.md,COMPLETE — referenced,CONSISTENT,All three gates use the same state model; AI-approval states are prohibited
TM2-24,Scope lock — design only,R1_1_4_R1_2_SCOPE_LOCK.md,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md — system limitations Part 9,COMPLETE,R_GOV_1_HOSPITAL_AUTHORIZATION_READINESS_DOSSIER.md — limitations Part 4,COMPLETE,R_GOV_1_INDEPENDENT_QUALIFICATION_READINESS_DOSSIER.md — limitations §2,COMPLETE,CONSISTENT,AUTHORIZED_FOR_DESIGN_ONLY consistently reflected
TM2-25,Real patient data processing — BLOCKED,Qualification invariant,R_GOV_1_ETHICS_GO_NO_GO_REGISTER.md — pre-conditions,COMPLETE — real data BLOCKED until ETH-01 obtained,R_GOV_1_HOSPITAL_AUTHORIZATION_GO_NO_GO_REGISTER.md,COMPLETE — BLOCKED until all 3 gates,R_GOV_1_INDEPENDENT_QUALIFICATION_GO_NO_GO_REGISTER.md,COMPLETE — BLOCKED,CONSISTENT,All packs uniformly state real data BLOCKED
TM2-26,Independent qualification status,Governance requirement,NOT APPLICABLE (ethics pack),N/A,REFERENCED as prerequisite,NOT STARTED,R_GOV_1_INDEPENDENT_QUALIFICATION_READINESS_DOSSIER.md,NOT STARTED/NOT COMPLETED,MINOR_INCONSISTENCY — see HOLD report,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md uses NOT_COMPLETED; other docs use NOT_STARTED
TM2-27,18 external dependencies — none self-closeable by AI,R_GOV_1_MASTER_EXTERNAL_DEPENDENCY_REGISTER.csv,REFERENCED,N/A,REFERENCED,N/A,REFERENCED,N/A,CONSISTENT,GOV-EXT-01 through GOV-EXT-18; all self_closeable_by_ai=NO
TM2-28,GATE-R1.1 — ACCEPTED_WITH_ACTIONS,Governance gate,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §5,COMPLETE,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §5,COMPLETE,R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §5,COMPLETE,CONSISTENT,Decision VL-GATE-R1.1-2026-002; SELF_REVIEW disclosed
TM2-29,Open actions ACT-R1-01 through ACT-R1-05,R1_1_4_ACTION_AND_RESIDUAL_RISK_REGISTER.md,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 9,OPEN — disclosed,R_GOV_1_HOSPITAL_INFORMATION_SECURITY_AND_INCIDENT_PLAN.md Section 2,OPEN — disclosed,R_GOV_1_INDEPENDENT_QUALIFICATION_GO_NO_GO_REGISTER.md,OPEN — in-scope for assessor,CONSISTENT — all 5 actions consistently shown as OPEN,No action may be self-closed by AI agent
TM2-30,PI attestation required before any submission,R-GOV.2 protocol,R_GOV_2_PI_FINAL_ATTESTATION_TEMPLATE.md Section 1,PENDING — PI to complete,R_GOV_2_PI_FINAL_ATTESTATION_TEMPLATE.md Section 2,PENDING — PI to complete,R_GOV_2_PI_FINAL_ATTESTATION_TEMPLATE.md Section 3,PENDING — PI to complete,CONSISTENT,All three submissions require PI attestation before dispatch
