blocker_id,pack,category,description,owner,status,prerequisite,blocking_effect,resolution_path,notes
BLK-HOSP-03,HOSPITAL,Team,Sub-investigator; data manager; statistician; monitor; eHospital liaison — all blank,PI + Hospital IT,MISSING,Ethics approval,BLOCKING — required for hospital submission,PI + hospital IT confirm all named persons,eHospital liaison must be designated by hospital IT
BLK-HOSP-04,HOSPITAL,Technical,Data-flow diagram not prepared,PI + Hospital IT,NOT PREPARED,Hospital IT engaged,BLOCKING — required for hospital IT review,PI + hospital IT prepare diagram (eHospital → pseudonymization → analysis → output),Must show no PII flows outside pseudonymization boundary
BLK-HOSP-05,HOSPITAL,Technical,Technical controls implementation plan not prepared (SSO / MFA / RBAC / WORM / audit),PI + Hospital IT,NOT PREPARED,Hospital IT engaged,BLOCKING — required before any data access can be authorized,PI + hospital IT prepare plan; hospital IT reviews and approves,ACT-R1-01 through ACT-R1-05 all OPEN
BLK-HOSP-06,HOSPITAL,Incident,All incident escalation contacts blank in Information Security Plan,PI + Institution,MISSING,Hospital IT engaged,BLOCKING — plan cannot be approved without contact details,PI inserts IT Security Officer; DPO; ethics committee; competent authority contacts,Required by hospital IT for security review
BLK-HOSP-07,HOSPITAL,Approvals,6 approval authority sign-offs not obtained (Hospital Director; Research Mgmt; Data Owner; IT Security; Legal; Finance),Hospital authorities,NOT OBTAINED,Ethics approval; all prior hospital steps,BLOCKING — authorization requires all 6 sign-offs,PI approaches each authority in sequence after ethics approval,IT Security Officer must sign Infosec Plan Section 5 as separate step
BLK-HOSP-08,HOSPITAL,Regulatory,Data retention/destruction plan not finalized; Circular 29 and Decree 13 compliance not confirmed,PI + Legal + DPO,NOT PREPARED,Ethics approval,BLOCKING — required for hospital submission,PI + legal + DPO prepare formal plans; conduct DPIA if not already done,DPIA may have been done for ethics; confirm it covers hospital data access
BLK-HOSP-09,HOSPITAL,External form,Hospital-specific institutional authorization form not obtained,PI + Hospital admin,NOT OBTAINED,Hospital admin identified,BLOCKING — cannot submit without hospital's own form,PI obtains from Hospital Administration,Institution-specific form; may vary
BLK-IQ-01,INDEPENDENT_QUALIFICATION,Assessor,No independent assessor designated by institutional authority,Research Management Office or hospital,NOT STARTED,None — can start in parallel with ethics,BLOCKING — all IQ steps require assessor first,PI approaches Research Management Office to request assessor designation,Assessor cannot be PI; developer; co-investigator; AI agent
BLK-IQ-02,INDEPENDENT_QUALIFICATION,COI,Assessor COI declaration not completed; institutional acceptance not obtained,Assessor + institution,BLANK,Assessor designated,BLOCKING — evidence package must not be transmitted until COI accepted,Assessor completes R_GOV_1_INDEPENDENCE_AND_CONFLICT_OF_INTEREST_TEMPLATE.md; institution signs Section 6,All 8 independence criteria must be YES; any NO = ineligible
BLK-IQ-03,INDEPENDENT_QUALIFICATION,Scope,Assessor scope not confirmed (scope acceptance in R_GOV_2_INDEPENDENT_ASSESSOR_SCOPE_FINAL.md Section 1),Assessor,MISSING,COI accepted,BLOCKING — evidence package transmission requires scope acceptance,Assessor signs Section 1 of scope document before receiving evidence package,18 in-scope domains; 7 out-of-scope domains
BLK-IQ-04,INDEPENDENT_QUALIFICATION,Known gap,PROD-AUD-01: Production audit trail NOT_IMPLEMENTED (ACT-R1-01 OPEN),PI + Hospital IT,NOT_IMPLEMENTED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Implement production WORM audit trail before assessor can qualify this domain,HIGH severity gap
BLK-IQ-05,INDEPENDENT_QUALIFICATION,Known gap,PROD-RBAC-01: Production RBAC NOT_IMPLEMENTED (ACT-R1-05 OPEN),PI + Hospital IT,NOT_IMPLEMENTED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Implement production RBAC before assessor can qualify this domain,HIGH severity gap
BLK-IQ-06,INDEPENDENT_QUALIFICATION,Known gap,SSO / MFA: Identity authentication NOT_IMPLEMENTED (ACT-R1-02/ACT-R1-03 OPEN),PI + Hospital IT,NOT_IMPLEMENTED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Implement SSO and MFA before assessor can qualify identity domain,HIGH severity gap
BLK-IQ-07,INDEPENDENT_QUALIFICATION,Known gap,eHospital integration NOT_IMPLEMENTED (design only),PI + Hospital IT,NOT_IMPLEMENTED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Implement eHospital connection (R1.3) before assessor can fully qualify boundary,HIGH severity gap — design is complete; implementation required
BLK-IQ-08,INDEPENDENT_QUALIFICATION,Known gap,WORM / tamper-evident production archive NOT_IMPLEMENTED (ACT-R1-04 OPEN),PI + Hospital IT,NOT_IMPLEMENTED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Implement WORM storage before assessor can qualify data integrity domain,HIGH severity gap
BLK-IQ-09,INDEPENDENT_QUALIFICATION,Known gap,Backup / restore / DR not yet designed,PI + Hospital IT,NOT_DESIGNED,Hospital authorization obtained,QUALIFICATION_GAP — assessor must evaluate,Design and implement backup/DR before assessor can qualify data resilience domain,MEDIUM severity gap
BLK-IQ-10,INDEPENDENT_QUALIFICATION,Prerequisites,Ethics approval (ETH-01) and hospital authorization (HOSP-01) not obtained,External bodies,NOT OBTAINED,Ethics and hospital steps complete,BLOCKING — sequential prerequisite for full IQ,Complete ethics and hospital authorization first,Sequential requirement; IQ qualification covers system in context of authorized use
BLK-CROSS-01,CROSS_PACK,Terminology,HOLD-2026-001: IQ status terminology inconsistency ("NOT STARTED" vs "NOT COMPLETED"),PI,ACTIVE,None,HOLD — cross-pack consistency HOLD,PI reviews hold report → updates R_GOV_1_TECHNICAL_BASELINE_CONFIRMATION.md §7 → HOLD resolved,Minor terminology only; no substantive impact
BLK-PI-01,ALL_PACKS,PI attestation,PI final attestation not completed (4 sections in R_GOV_2_PI_FINAL_ATTESTATION_TEMPLATE.md),PI,PENDING,All package items per section complete,BLOCKING — no submission without PI attestation,PI completes attestation sections as each package becomes ready,Last step before each submission
