requirement_id,requirement_description,phase,source_module,test_file,test_count,evidence_doc,status
REQ-R3.0-03,Monitoring plan template (SDV scope / escalation triggers),R3.0,— (doc only),— (doc only),0,R3_0_MONITORING_PLAN_TEMPLATE.md,DOCUMENTED
REQ-R3.0-04,Study operations SOP (enrollment / AE reporting / closure),R3.0,— (doc only),— (doc only),0,R3_0_STUDY_OPERATIONS_SOP.md,DOCUMENTED
REQ-R3.0-05,Study Activation Gate — 12 conditions all CLOSED,R3.0,— (doc only),— (doc only),0,R3_0_STUDY_ACTIVATION_GATE.md,DOCUMENTED — GATE CLOSED
REQ-R4.0-01,EHospitalReadOnlyBoundaryInterface — zero write methods,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,1,R4_0_EHOSPITAL_BOUNDARY_ARCHITECTURE.md,VERIFIED
REQ-R4.0-02,ExtractRequest requires non-empty ethics_approval_ref,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,1,R4_0_EHOSPITAL_BOUNDARY_ARCHITECTURE.md,VERIFIED
REQ-R4.0-03,ExtractRecord rejects PII key names in data dict,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,3,R4_0_PSEUDONYMIZATION_REQUIREMENTS.md,VERIFIED
REQ-R4.0-04,PERMITTED_READ_DOMAINS and BLOCKED_READ_DOMAINS are disjoint,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,1,R4_0_DATA_DOMAIN_WHITELIST.md,VERIFIED
REQ-R4.0-05,PseudonymizedSubject requires 64-char SHA-256 hex pseudo_id,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,6,R4_0_PSEUDONYMIZATION_REQUIREMENTS.md,VERIFIED
REQ-R4.0-06,Unapproved extract raises PermissionError,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,2,R4_0_EHOSPITAL_BOUNDARY_ARCHITECTURE.md,VERIFIED
REQ-R4.0-07,Blocked domains rejected by ExtractRequest,R4.0,research_project/ehospital_boundary_contract.py,tests/test_r4_0_ehospital_boundary.py,2,R4_0_DATA_DOMAIN_WHITELIST.md,VERIFIED
REQ-R5.0-01,Qualification framework (IQ/OQ/PQ/SQ) documented,R5.0,— (doc only),— (doc only),0,R5_0_QUALIFICATION_FRAMEWORK.md,DOCUMENTED
REQ-R5.0-02,System qualification scope defined,R5.0,— (doc only),— (doc only),0,R5_0_SYSTEM_QUALIFICATION_SCOPE.md,DOCUMENTED
REQ-R5.0-03,Qualification test plan with IQ/OQ/PQ/SQ scripts,R5.0,— (doc only),— (doc only),0,R5_0_QUALIFICATION_TEST_PLAN.md,DOCUMENTED — NOT EXECUTED
REQ-R5.0-04,Qualification gap register — 10 gaps all OPEN,R5.0,— (doc only),— (doc only),0,R5_0_QUALIFICATION_GAP_REGISTER.md,DOCUMENTED — ALL OPEN
REQ-R6.0-01,Level-A retrospective pilot protocol,R6.0,— (doc only),— (doc only),0,R6_0_RETROSPECTIVE_PILOT_PROTOCOL.md,DOCUMENTED
REQ-R6.0-02,Pilot Activation Gate — 36 compound conditions all CLOSED,R6.0,— (doc only),— (doc only),0,R6_0_PILOT_ACTIVATION_GATE.md,DOCUMENTED — GATE CLOSED
