Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
lydo_chon_khac,phieu_khao_sat,,text,Lý do chọn khám theo yêu cầu — ghi rõ nếu chọn Khác,,,,,,,[lydo_chon_theoyeucau(8)] = '1',n,,,,,
co_yeucau_bacsi,phieu_khao_sat,Đặc thù khám theo yêu cầu,radio,Có yêu cầu khám với một bác sĩ cụ thể không?,"1, Có | 2, Không",,,,,,,n,,,,,
duoc_dung_bacsi,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Được khám đúng bác sĩ đã yêu cầu,"1, Có | 2, Không | 7, Không áp dụng (không yêu cầu bác sĩ nào)",Forced-in ở mô hình chính (SAP §5),,,,,,y,,,,,
kenh_datlich,phieu_khao_sat,Đặc thù khám theo yêu cầu (thăm dò),dropdown,Kênh đăng ký khám,"1, Đến trực tiếp lấy số | 2, Gọi tổng đài | 3, Ứng dụng/website | 4, Qua người quen trong viện | 8, Không nhớ",Thăm dò; đứng ĐẦU danh sách cắt nếu phiếu quá 20 phút (mục 4.5.1),,,,,,n,,,,,
co_goikham,phieu_khao_sat,,radio,Sử dụng gói khám,"1, Có | 2, Không | 8, Không biết",Thăm dò; thứ hai trong danh sách cắt,,,,,,n,,,,,
rieng_tu,phieu_khao_sat,,radio,Mức riêng tư khi trao đổi với bác sĩ,"1, Rất không riêng tư | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất riêng tư",Thăm dò. Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
suckhoe_tudanhgia,phieu_khao_sat,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Tự đánh giá sức khỏe hiện tại,"1, Rất kém | 2, Kém | 3, Trung bình | 4, Tốt | 5, Rất tốt","Forced-in (nhiễu theo DAG; giữ đến cùng nếu phải cắt mục — SAP §5, codebook bổ sung)",,,,,,y,,,,,
hoan_vi_chiphi,phieu_khao_sat,Rào cản chi phí (mô tả — chỉ báo tỷ lệ tổng hợp),radio,Hoãn/không làm dịch vụ được chỉ định vì chi phí,"1, Có | 2, Không | 8, Không nhớ | 9, Không muốn trả lời","Mục nhạy cảm — mã 9 BẮT BUỘC khai, người trả lời được phép bỏ qua (ghi rõ trong ICF); KHÔNG phân tích dưới nhóm",,,,,,n,,,,,
a1,phieu_khao_sat,Phần 2 — Likert 1-5 · A. Khả năng tiếp cận dịch vụ,radio,A1. Thời gian chờ đợi để làm thủ tục đăng ký khám,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
a2,phieu_khao_sat,,radio,A2. Thời gian chờ đợi để được vào gặp bác sĩ khám,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
a3,phieu_khao_sat,,radio,A3. Thời gian chờ đợi để thực hiện các dịch vụ cận lâm sàng,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 7, Không sử dụng dịch vụ này | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
a4,phieu_khao_sat,,radio,A4. Thời gian chờ đợi để nhận kết quả cận lâm sàng,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 7, Không sử dụng dịch vụ này | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
a5,phieu_khao_sat,,radio,A5. Sự dễ dàng và thuận tiện của thủ tục đăng ký khám bệnh,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
a6,phieu_khao_sat,,radio,A6. Sự rõ ràng và đầy đủ của việc được hướng dẫn về quy trình khám bệnh,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b1,phieu_khao_sat,Phần 2 — Likert 1-5 · B. Cơ sở vật chất và phương tiện phục vụ,radio,"B1. Sự sạch sẽ, vệ sinh của khu vực chờ khám","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b2,phieu_khao_sat,,radio,"B2. Sự sạch sẽ, vệ sinh của phòng khám bác sĩ","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b3,phieu_khao_sat,,radio,"B3. Sự sạch sẽ, vệ sinh của nhà vệ sinh dành cho người bệnh","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b4,phieu_khao_sat,,radio,B4. Sự đầy đủ và tiện nghi của ghế ngồi chờ,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b5,phieu_khao_sat,,radio,B5. Điều kiện không khí tại khu vực chờ,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b6,phieu_khao_sat,,radio,B6. Sự sẵn có của nước uống phục vụ người bệnh,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b7,phieu_khao_sat,,radio,"B7. Sự rõ ràng, dễ thấy của biển báo, sơ đồ chỉ dẫn trong khoa","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
b8,phieu_khao_sat,,radio,"B8. Cảm nhận về sự hiện đại, đầy đủ của trang thiết bị y tế được sử dụng","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c1,phieu_khao_sat,Phần 2 — Likert 1-5 · C. Thái độ ứng xử và năng lực chuyên môn của NVYT,radio,"C1. Thái độ ân cần, tôn trọng, lịch sự của bác sĩ","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c2,phieu_khao_sat,,radio,C2. Sự giải thích của bác sĩ về tình trạng bệnh,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c3,phieu_khao_sat,,radio,C3. Sự giải thích của bác sĩ về phương pháp điều trị/xét nghiệm,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c4,phieu_khao_sat,,radio,C4. Thời gian bác sĩ dành để khám và tư vấn,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c5,phieu_khao_sat,,radio,C5. Sự tin tưởng vào năng lực chuyên môn của bác sĩ,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c6,phieu_khao_sat,,radio,"C6. Thái độ niềm nở, nhiệt tình, sẵn sàng giúp đỡ của điều dưỡng/kỹ thuật viên/NVYT khác","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap]. Multi-barreled item — hội đồng chuyên gia quyết tách trước vFinal (Phụ lục C.5),,,,,,n,,,,,
c7,phieu_khao_sat,,radio,"C7. Sự hướng dẫn rõ ràng, cụ thể về các thủ tục","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c8,phieu_khao_sat,,radio,"C8. Sự cẩn thận, nhẹ nhàng và tôn trọng sự riêng tư của nhân viên khi thực hiện thủ thuật/y lệnh (nếu có)","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 7, Không sử dụng dịch vụ này | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
c9,phieu_khao_sat,,radio,"C9. Thái độ lịch sự, thân thiện của nhân viên bảo vệ/hướng dẫn/tiếp đón","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap]. Multi-barreled item — hội đồng chuyên gia quyết tách trước vFinal (Phụ lục C.5),,,,,,n,,,,,
c10,phieu_khao_sat,,radio,"C10. Sự sẵn sàng chỉ dẫn, giúp đỡ khi cần","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
d1,phieu_khao_sat,Phần 2 — Likert 1-5 · D. Minh bạch thông tin và thủ tục khám bệnh,radio,"D1. Sự công khai, rõ ràng về giá các dịch vụ y tế","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
d2,phieu_khao_sat,,radio,D2. Sự giải thích về các khoản chi phí phải trả,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 7, Không sử dụng dịch vụ này | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
d3,phieu_khao_sat,,radio,"D3. Sự hướng dẫn rõ ràng, đầy đủ về cách sử dụng thuốc","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 7, Không sử dụng dịch vụ này | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
e1,phieu_khao_sat,Phần 2 — Likert 1-5 · E. Kết quả cung cấp dịch vụ,radio,E1. Mức độ đáp ứng nhu cầu khám chữa bệnh,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
e2,phieu_khao_sat,,radio,E2. Sự tin tưởng vào kết quả chẩn đoán và điều trị tại khoa,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
f1,phieu_khao_sat,Phần 2 — Likert 1-5 · F. Chi phí dịch vụ,radio,F1. Sự phù hợp của chi phí khám chữa bệnh so với chất lượng dịch vụ nhận được,"1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng | 8, Không biết/không nhớ | 9, Không trả lời/từ chối",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
g1,phieu_khao_sat,Kết cục chính,radio,"G1. Nói chung, Ông/Bà hài lòng ở mức độ nào với tất cả các dịch vụ đã nhận được tại Khoa Khám bệnh trong lần khám này?","1, Rất không hài lòng | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Rất hài lòng","Tên SPSS: SHLNBChung_TrucTiep. KẾT CỤC CHÍNH — GIỮ nguyên thang thứ bậc 1-5 trong mô hình chính (logistic thứ tự/proportional odds, SAP §2/§4); ngưỡng nhị phân thứ cấp KHÓA TRƯỚC: hài lòng = G1 ≥ 4/5. Thiếu G1 = phiếu bị loại (ngưỡng loại 1, mục 4.3.2). Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap]",,,,,,y,,,,,
g2,phieu_khao_sat,Kết cục phụ (định trước — C.6.2),radio,G2. Ý định quay lại khoa khám,"1, Chắc chắn không | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Chắc chắn có | 8, Không biết | 9, Không trả lời",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
g3,phieu_khao_sat,,radio,G3. Ý định giới thiệu cho người thân/bạn bè,"1, Chắc chắn không | 2, Mức 2 | 3, Mức 3 | 4, Mức 4 | 5, Chắc chắn có | 8, Không biết | 9, Không trả lời",Đề cương chỉ ghi neo mức 1 và 5 (C.2) — [CẦN BÁC SĨ đối chiếu nhãn mức 2-4 theo phiếu in trước khi import REDCap],,,,,,n,,,,,
ykiendonggop,phieu_khao_sat,Phần 4 — Ý kiến mở,notes,Ý kiến đóng góp khác,,"Tên SPSS: Ykiendonggop — tổng hợp mô tả/theo chủ đề, không lượng hóa vào kết cục (C.4). KHÔNG nhập thông tin định danh",,,,,,n,,,,,
thoigian_cho,lop_his,Phơi nhiễm thời gian chờ (nguồn HIS/eHospital — ghép qua ID),text,Thời gian chờ khám (phút),,EXPOSURE CHÍNH (Mục tiêu 2). Nguồn ưu tiên mốc HIS (định nghĩa mục 4.6.3); mô hình chính báo hiệu ứng MỖI 15 PHÚT (SAP §4),number,0,1440,,,y,,,,,
khunggio_kham,lop_his,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Khung giờ khám,"1, Sáng sớm | 2, Cuối sáng | 3, Đầu chiều | 4, Cuối chiều",BẮT BUỘC — nhiễu tiềm năng theo DAG (liên quan đồng thời thời gian chờ và hài lòng). Forced-in (SAP §5),,,,,,y,,,,,
ngay_trong_tuan,lop_his,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),radio,Ngày trong tuần khám,"1, Thứ Hai | 2, Thứ Ba | 3, Thứ Tư | 4, Thứ Năm | 5, Thứ Sáu | 6, Thứ Bảy | 7, Chủ Nhật",BẮT BUỘC. Forced-in (SAP §5),,,,,,y,,,,,
chuyenkhoa,lop_his,Biến hiệu chỉnh (forced-in theo DAG — SAP §5),text,Chuyên khoa/phòng khám nội bộ C1a,,"[CẦN CHỦ NHIỆM XÁC NHẬN] Khoa C1a có vận hành phân biệt theo chuyên khoa/phòng khám không — nếu KHÔNG, loại biến này khỏi tập forced-in (SAP §5, mục 4.6.2); danh mục mã do khoa cấp",,,,,,n,,,,,
co_cls,lop_his,Vận hành khám (mô tả/thăm dò — KHÔNG hiệu chỉnh mô hình chính),radio,Có làm cận lâm sàng,"1, Có | 0, Không",Xảy ra SAU khi gặp bác sĩ — không phải trung gian của thời gian chờ trước khám (Phụ lục A),,,,,,n,,,,,
so_quay_buoc,lop_his,,text,Số bước/quầy phải qua,,Biến thăm dò/tùy chọn,integer,0,30,,,n,,,,,
ma_ban_kham,lop_his,"Biến cụm (bàn khám) — SE robust theo chùm, SAP §4",text,Mã bàn khám/bác sĩ khám (đã giả danh),,"BẮT BUỘC thu từ phiếu ĐẦU TIÊN. Mã giả danh BK01, BK02… do Phòng CNTT/QLCL cấp — KHÔNG phải tên/mã nhân viên thật; <15 bàn → mô hình chặn ngẫu nhiên thành phân tích CHÍNH; cấm dùng đánh giá cá nhân (mục 4.6.2)",,,,,,y,,,,,
