req_id,requirement_category,requirement_description,regulatory_source,confirmed_by,confirmation_method,current_status,pack_document,notes
ETH-REQ-11,Data governance,Data management plan prepared,ICH E6 §5.5; GCP,PI + Data Manager,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §2.7,Required for ethics submission
ETH-REQ-12,Data governance,Data retention plan specified,Circular 29/2020/TT-BYT; GCP,PI,Document submission,DESIGNED (7-15 year tiers); NOT FINALIZED,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 7,Retention policy constants in code; formal plan needed
ETH-REQ-13,Data governance,Data destruction plan specified,Decree 13/2023/ND-CP; GCP,PI + Data Owner,Document submission,NOT PREPARED,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 7,Required
ETH-REQ-14,Team qualifications,CV of PI and co-investigators provided,ICH E6 §8.2.10,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §2.8,Required for ethics submission
ETH-REQ-15,Team qualifications,GCP training certificates for all team members,ICH E6 §2.8; Decision 9440/QĐ-BYT,PI,Document submission,NOT CONFIRMED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §4.2,Required for ethics submission
ETH-REQ-16,Conflict of interest,COI declarations for all team members,ICMJE; ICH E6,PI + Team,Signed declarations,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.10,Required before submission
ETH-REQ-17,Delegation,Delegation log prepared with roles and signatures,ICH E6 §8.3.19,PI,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.11,Required
ETH-REQ-18,Monitoring,Monitoring plan completed,ICH E6 §5.18,PI + Monitor,Document submission,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.12,Reference to R3.0 monitoring template
ETH-REQ-19,Insurance,Insurance / indemnity arrangements confirmed,ICH E6 §5.8,PI + Institution,Document submission,NOT ARRANGED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.13,Required before ethics approval
ETH-REQ-20,Funding,Funding source declared and COI assessed,ICMJE; ICH E6,PI,Declaration,NOT PREPARED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §1.14,Required
ETH-REQ-21,AI use,AI tool use statement included in submission,Best practice; institutional policy,Completed in dossier,Document submission,PREPARED,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 10,AI-use limitation statement included
ETH-REQ-22,System use,System-use statement included in submission,Best practice; institutional policy,Completed in dossier,Document submission,PREPARED,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 9,Includes qualification status and NOT IMPLEMENTED disclosures
ETH-REQ-23,Study registration,Study registered on recognized registry,ICMJE; WHO ICTRP,PI,Registration confirmation,NOT REGISTERED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §4 (Vietnamese regulatory),Required before or at ethics approval
ETH-REQ-24,Regulatory,Compliance with Circular 29/2020/TT-BYT confirmed,Circular 29/2020/TT-BYT,PI + Legal,Legal review,NOT CONFIRMED,R_GOV_1_ETHICS_SUBMISSION_CHECKLIST.md §4,Vietnamese regulatory requirement
ETH-REQ-25,Deviation and CAPA,Deviation and CAPA plan included,ICH E6 §5.20; GCP,PI,Document submission,TEMPLATE AVAILABLE,R_GOV_1_ETHICS_REVIEW_READINESS_DOSSIER.md Part 11,Reference to R3.0 SOP §4
