case_id,domain,criterion,score,notes
G3,G - Analysis & Reporting,Results<->Discussion sync,2,"Only prompt-level guidance found (viet-ban-thao.md M5: 'Results: uoc luong+95%CI; Discussion: khong overclaim') -- no automated code that cross-checks numeric consistency between the two sections"
G4,G - Analysis & Reporting,EQUATOR validator,3,"tools/skill_standards.py::reporting_standards_for() explicitly maps to the EQUATOR Network standards (CONSORT/STROBE/PRISMA/STARD/TRIPOD/SPIRIT/CHEERS/CARE/SQUIRE), tested in test_skill_standards.py (passed); real 17_Reporting_Checklist.md artifact generated"
G5,G - Analysis & Reporting,Data Sharing Statement,3,"tools/run_g9_auto.py generates a real 'Phan 3 - Data Availability Statement (3 lua chon A/B/C, FAIR Principles)' as part of G9_A10_AUTHOR_INTEGRITY_KKB-HAI-LONG-2026.docx, confirmed generated for a real study (2026-07-09)"
H1,H - QA & Testing,2-layer guardrail,3,"Same evidence as A4: tham-dinh-dau-ra R1-R7+Q1-Q7 + observability/APPRAISALS.jsonl real timestamped execution log with concrete verdicts"
H2,H - QA & Testing,Golden tests,3,"tests/test_golden.py + tests/fixtures/golden/*.json real, executed cleanly in fresh full pytest run; note 2 of the fixture files are suffixed _TODO (golden_g6_logistic_TODO.json, golden_g6_cox_TODO.json) indicating incomplete coverage"
H3,H - QA & Testing,Adversarial test suite,3,"6+ real adversarial/red-team test files (test_pii_adversarial.py, test_offline_adversarial_guard_rules.py, test_phase_2b_shadow_research_red_team.py, test_phase_3a_chronic_care_red_team.py, test_v4_2_bypass_resistance.py, tests/evals/red_team/) all passed in my fresh full pytest run"
H4,H - QA & Testing,Regression tests,3,"Full suite: 1812 passed, 17 skipped, 0 failed, exit code 0 -- I ran this myself just now (85.20s), a genuinely fresh independent execution"
H5,H - QA & Testing,enforce_agent_guardrails,3,"Live-ran tools/enforce_agent_guardrails.py myself just now: real output 'checked agents: 50, changed files: 0'"
I1,I - End-to-End,Baseline audit report,3,"MRAQ100_AUDIT/ contains a real dated 18-section audit report (2026-06-21, file timestamps confirmed via ls -la) -- real artifact exists and was produced by a real process, but it is explicitly self-audited by a single AI with no independent reviewer (per its own guide doc), so cannot exceed 3"
I2,I - End-to-End,System inventory,3,"01_SYSTEM_INVENTORY.md real, dated 2026-06-21 14:32, contains a detailed per-agent table (28 research agents enumerated with path/input/output/gate/status); has not been regenerated since despite ~40+ commits landing afterward per task brief -- real but stale, no independent review"
I3,I - End-to-End,Cross-session continuity,3,"~/.ebm-orchestrator/sessions/ contains real session JSON files spanning 2026-07-08 through 2026-07-15 (today) that I directly inspected; --resume verified live working across sessions; so-cai-ghi-nho/MEMORY.md pattern documented for durable cross-session memory"
I4,I - End-to-End,Sync failure alert,3,"Live-ran tools/sync_safety_check.py myself just now: real 🟡 verdict correctly flagging concrete recently-written files (Antifacts.html, _HE-THONG-SCORECARD.json, etc.) and uncommitted changes in both git repos"
I5,I - End-to-End,Audit completeness,3,"Live-ran tools/audit_ebm_system.py myself just now: real multi-subsystem PASS report (agent sync, guardrail, dashboard, template sync, routine layer, EBM_MASTER 534 cards, etc.) with concrete counts, not templated text"
