gap_id,finding_source,risk_level_original,remediation_type,source_file_changed,source_change_description,test_file_changed,test_id,test_description,acceptance_criteria,acceptance_status,residual_risk,vl_reconfirmation_required
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7; R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,TRUTHFULNESS_CORRECTION,research_project/project_audit_attribution.py,Module label updated to Tamper-Evident Local Audit Ledger Simulation; added PROD_AUD_01_WORM_DEPENDENCY=NOT_IMPLEMENTED; added LOCAL_LEDGER_CLASSIFICATION; added sequence_number field; enhanced verify_hash_chain(); added ledger_root_hash(); added create_checkpoint(),tests/test_r1_1_2_gap_remediation.py,TestWORM_Truthfulness::test_worm01_event_to_dict_contains_no_worm_claim,to_dict() has no WORM claim; has local_ledger_classification,no 'worm' in json; classification present,PENDING_RUN,MEDIUM,Yes — confirm DEFERRED_TO_PRODUCTION_QUALIFICATION acceptable
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7; R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,TRUTHFULNESS_CORRECTION,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_Truthfulness::test_worm02_ledger_has_no_worm_method,AuditAttributionLedger has no WORM method,no write_worm/seal/immutable_lock/worm_archive method,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7; R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,TRUTHFULNESS_CORRECTION,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_Truthfulness::test_worm03_prod_aud_01_is_not_implemented,PROD_AUD_01_WORM_DEPENDENCY == NOT_IMPLEMENTED,constant == NOT_IMPLEMENTED,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7,MEDIUM,TRUTHFULNESS_CORRECTION,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_Truthfulness::test_worm04_local_ledger_classification_contains_not_worm,LOCAL_LEDGER_CLASSIFICATION has NOT_WORM and SIMULATION,NOT_WORM in constant AND SIMULATION in constant,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,Enhanced verify_hash_chain() with 4 new detection modes,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm05_modified_event_content_detected,Modified event content detected by verify(),ok==False on content modification,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm06_missing_previous_hash_link_detected,Broken previous_event_hash detected,ok==False on chain break,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm07_sequence_discontinuity_detected,Sequence gap detected,ok==False on seq gap,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm08_deleted_middle_event_detected,Deleted middle event detected,ok==False on middle deletion,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm09_duplicate_event_id_detected,Duplicate event_id detected,ok==False on duplicate id,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-11,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_TamperDetection::test_worm10_out_of_order_sequence_detected,Out-of-order sequence detected,ok==False on out-of-order seq,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_CheckpointAndRootHash::test_worm11_checkpoint_has_no_worm_claim,Checkpoint has production_worm_dependency=NOT_IMPLEMENTED,production_worm_dependency==NOT_IMPLEMENTED,PENDING_RUN,MEDIUM,Yes
RR-02/AC-11,R1_1_1_VALIDATION_DESIGN_REVIEW.md §7,MEDIUM,ADD_TAMPER_SCENARIOS,research_project/project_audit_attribution.py,See above,tests/test_r1_1_2_gap_remediation.py,TestWORM_CheckpointAndRootHash::test_worm12_root_hash_changes_on_tamper,ledger_root_hash() changes on file tamper,root_before != root_after,PENDING_RUN,MEDIUM,Yes
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05; R1.1.2 spec Phase C,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,Added DelegationReasonCode enum (9 values); DelegationDecision dataclass (11 fields); evaluate_delegation_action() function,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del01_expired_delegation_returns_delegation_expired,Expired delegation → DELEGATION_EXPIRED,reason_code==DELEGATION_EXPIRED,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del02_revoked_delegation_returns_delegation_revoked,Revoked delegation → DELEGATION_REVOKED,reason_code==DELEGATION_REVOKED,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del03_scope_exceeded_returns_delegation_scope_exceeded,Scope exceeded → DELEGATION_SCOPE_EXCEEDED,reason_code==DELEGATION_SCOPE_EXCEEDED,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del04_forbidden_authority_returns_delegation_forbidden_authority,Forbidden authority → DELEGATION_FORBIDDEN_AUTHORITY,reason_code==DELEGATION_FORBIDDEN_AUTHORITY,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05; R1.1.2 spec Phase C,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del05_delegation_decision_has_required_fields,DelegationDecision.to_dict() has all 10 required fields,all fields present; ALLOW path works,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del06_proposed_not_activated_returns_not_active,PROPOSED → DELEGATION_NOT_ACTIVE,reason_code==DELEGATION_NOT_ACTIVE,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del07_nonexistent_delegation_returns_not_found,Unknown delegation_id → DELEGATION_NOT_FOUND,reason_code==DELEGATION_NOT_FOUND,PENDING_RUN,LOW,No
DEL-REASON,R1_1_1_NEGATIVE_TEST_AND_ABUSE_CASE_REVIEW.md AC-05,MEDIUM,ADD_STRUCTURED_RESULT,research_project/project_delegation_registry.py,See above,tests/test_r1_1_2_gap_remediation.py,TestDEL_ReasonCodes::test_del08_reason_codes_are_distinct_strings,All 9 reason codes are distinct and start with DELEGATION_,len(all) == len(set(all)); all start with DELEGATION_,PENDING_RUN,LOW,No
INV,R1.1.2 spec invariants,N/A,VERIFY_INVARIANT,None,No source change,tests/test_r1_1_2_gap_remediation.py,TestINV_Invariants::test_inv01_no_network_api_pii_in_module_imports,No network import in source modules,no requests/httpx/urllib.request import,PENDING_RUN,VERY_LOW,No
INV,R1.1.2 spec invariants,N/A,VERIFY_INVARIANT,None,No source change,tests/test_r1_1_2_gap_remediation.py,TestINV_Invariants::test_inv02_all_audit_events_have_synthetic_markers,All events have is_synthetic=True AND production_valid=False,is_synthetic==True AND production_valid==False for all,PENDING_RUN,VERY_LOW,No
